areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
Maspeth,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.0,1650.0,,,,,,,,,,,,,,,1900.0,1950.0,,,1725.0,1775.0,1850.0,1900.0,1875.0,1913.0,2000.0,2000.0,2100.0,2100.0,2100.0,2050.0,1900.0,2000.0,1925.0,2000.0,2000.0,2000.0,2050.0,2000.0,2000.0,2000.0,2100.0,2100.0,1975.0,2000.0,2000.0,2048.0,2000.0,2000.0,2000.0,2000.0,2000.0,1950.0,2000.0,1999.0,1950.0
Melrose,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,2300.0,,,,,,,,,,,,,,,2200.0,
Midtown,Manhattan,neighborhood,5998.0,5970.0,5900.0,5775.0,5750.0,5750.0,5925.0,5673.0,5625.0,5500.0,5973.0,5950.0,5973.0,6100.0,5975.0,6995.0,6750.0,6000.0,6000.0,6000.0,6600.0,6500.0,6400.0,5900.0,6798.0,6395.0,6150.0,6250.0,6500.0,6850.0,6500.0,6600.0,6500.0,6000.0,6500.0,6250.0,6398.0,6500.0,6495.0,6500.0,6000.0,6195.0,6000.0,6200.0,6000.0,6200.0,6250.0,5995.0,5800.0,5950.0,6146.0,6146.0,5695.0,5995.0,5983.0,5800.0,5700.0,5800.0,5700.0,5800.0,5800.0,5800.0,5798.0,6198.0,6450.0,6400.0,6050.0,5971.0,5923.0,5684.0,5995.0,6000.0,6125.0,6200.0,6150.0,6450.0,6373.0,6500.0,6500.0,6000.0,5913.0,5799.0,5800.0,5800.0,5854.0,6200.0,5877.0,5582.0,5750.0,5795.0,5750.0,5800.0,5862.0,5667.0,5600.0,5595.0,5600.0,5713.0,5925.0,5850.0,5800.0,5848.0,5787.0,5748.0,5850.0,5673.0
Midtown East,Manhattan,neighborhood,4473.0,4200.0,4125.0,4100.0,4450.0,4200.0,4300.0,4300.0,4400.0,4563.0,4743.0,4698.0,4900.0,4850.0,4695.0,4600.0,4600.0,4665.0,4500.0,4500.0,4795.0,4893.0,4750.0,4588.0,4600.0,4675.0,4750.0,4600.0,4585.0,4625.0,4500.0,4595.0,4500.0,4518.0,4598.0,4500.0,4500.0,4665.0,4500.0,4500.0,4500.0,4500.0,4100.0,4225.0,4625.0,4625.0,4600.0,4600.0,4500.0,4540.0,4500.0,4500.0,4400.0,4600.0,4500.0,4595.0,4800.0,4700.0,4600.0,4599.0,4500.0,4500.0,4725.0,4800.0,4773.0,4500.0,4495.0,4500.0,4695.0,4600.0,4700.0,4695.0,4518.0,4500.0,4350.0,4500.0,4495.0,4600.0,4500.0,4400.0,4495.0,4395.0,4295.0,4482.0,4495.0,4600.0,4600.0,4395.0,4400.0,4425.0,4300.0,4200.0,4350.0,4395.0,4100.0,4295.0,4443.0,4500.0,4400.0,4495.0,4395.0,4398.0,4250.0,4290.0,4200.0,4300.0
Midtown South,Manhattan,neighborhood,5000.0,5120.0,5900.0,5825.0,5950.0,6000.0,5973.0,5665.0,5665.0,5200.0,5150.0,5270.0,5750.0,5900.0,5200.0,5100.0,5220.0,5800.0,5775.0,5440.0,6343.0,6343.0,6040.0,5500.0,6490.0,6675.0,6400.0,6240.0,6500.0,6500.0,6500.0,6400.0,6500.0,6348.0,5500.0,5600.0,6300.0,5995.0,5995.0,5370.0,5525.0,5950.0,5950.0,5240.0,5350.0,5600.0,6400.0,5815.0,5240.0,5820.0,6400.0,6100.0,6500.0,6398.0,6300.0,6620.0,6548.0,6500.0,6850.0,6548.0,6277.0,6500.0,6820.0,6548.0,6608.0,6412.0,6658.0,6695.0,6810.0,6476.0,6423.0,6608.0,6695.0,6658.0,6460.0,6658.0,6620.0,6514.0,6500.0,6461.0,6500.0,6551.0,6461.0,6460.0,6364.0,6459.0,6456.0,6500.0,6456.0,6417.0,6457.0,6459.0,6480.0,6460.0,5095.0,5200.0,5250.0,5500.0,5500.0,5704.0,5400.0,5348.0,4995.0,5348.0,5435.0,5625.0
Midtown West,Manhattan,neighborhood,4050.0,4033.0,3850.0,3902.0,4060.0,4200.0,4295.0,4493.0,4490.0,4490.0,4448.0,4500.0,4500.0,4500.0,4595.0,4995.0,4690.0,4800.0,4900.0,4868.0,4775.0,4550.0,4795.0,4950.0,4795.0,4995.0,5000.0,5000.0,5295.0,5293.0,4998.0,5000.0,5100.0,4950.0,4650.0,4600.0,4613.0,4890.0,4638.0,4650.0,4650.0,4500.0,4550.0,4598.0,4600.0,4895.0,4583.0,4800.0,4713.0,4842.0,5000.0,4846.0,4900.0,4883.0,4710.0,4500.0,4700.0,4605.0,4700.0,4700.0,4750.0,4700.0,4833.0,4798.0,4675.0,4950.0,4950.0,4970.0,4854.0,4895.0,4500.0,4798.0,4925.0,4925.0,4793.0,4750.0,4500.0,4200.0,4425.0,4500.0,4500.0,4500.0,4500.0,4500.0,4506.0,4708.0,4579.0,4616.0,4750.0,4500.0,4300.0,4500.0,4650.0,4900.0,4488.0,4415.0,4500.0,4425.0,4500.0,4560.0,4500.0,4450.0,4273.0,4610.0,4942.0,4932.0
Midwood,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,1500.0,1925.0,2000.0,1875.0,,,,,,,,1663.0,1945.0,,,,,,1673.0,1650.0,1650.0,,,,1875.0,1800.0,1775.0,1785.0,1775.0,1813.0,1975.0,1890.0,1890.0,1700.0,1823.0,1700.0,2125.0,2150.0,2150.0,2000.0,1873.0,1799.0,1850.0,1998.0,1948.0,1950.0,1875.0,1950.0,1950.0,1995.0,1950.0,1925.0,1990.0,1906.0,1850.0,1848.0,2000.0,2000.0,1983.0,1950.0,1925.0,1988.0,2000.0,1985.0,1999.0,1970.0,2025.0,2100.0,1950.0,1899.0,1997.0,2150.0,2113.0,1999.0,1999.0,1975.0,2000.0,1995.0
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Heights,Manhattan,neighborhood,2175.0,2150.0,1975.0,1975.0,2295.0,2156.0,2100.0,2200.0,,2595.0,,2495.0,2450.0,2548.0,3098.0,2973.0,2525.0,2450.0,2875.0,3000.0,3475.0,3000.0,3000.0,3000.0,2995.0,2950.0,2613.0,2688.0,2798.0,2800.0,2798.0,2595.0,2973.0,2800.0,2713.0,2968.0,2991.0,2991.0,2950.0,2950.0,2850.0,2798.0,2800.0,2800.0,3000.0,2700.0,2825.0,2695.0,2986.0,3068.0,3225.0,3250.0,3250.0,2993.0,3050.0,3150.0,3000.0,2825.0,2935.0,2998.0,2986.0,2998.0,2998.0,2999.0,3000.0,3450.0,3273.0,3000.0,3000.0,3250.0,3000.0,3000.0,2800.0,2800.0,2950.0,3000.0,3000.0,3500.0,3100.0,3100.0,3298.0,3295.0,3200.0,3200.0,3000.0,3071.0,2812.0,2925.0,3100.0,3000.0,2874.0,2985.0,2800.0,2695.0,2600.0,2895.0,2729.0,2950.0,3000.0,3100.0,3100.0,3098.0,3000.0,3100.0,3000.0,2850.0
Morris Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,1700.0,,,,1850.0,2100.0,,2224.0,2150.0,2000.0,,,,1819.0,1838.0,1900.0,1800.0,1800.0,1750.0,1800.0,1800.0,1800.0,2050.0,2213.0,2250.0,,,,,2134.0,2074.0,1848.0,1988.0,,1950.0,1925.0,1960.0,,1913.0,1900.0,1926.0,1900.0,1925.0,2050.0,2150.0,2100.0,2025.0,2100.0
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mott Haven,Bronx,neighborhood,,,,,,,,,,,,,,,,,,1363.0,,,,,,,,,,,,,,,,,,,,,,,,,,1775.0,,,,,,,,,,,,,1800.0,,,1700.0,1600.0,1600.0,1700.0,1750.0,1750.0,,1700.0,1700.0,1750.0,2000.0,2100.0,2000.0,2000.0,,1975.0,1975.0,1900.0,1900.0,1913.0,1900.0,1800.0,1787.0,1650.0,1800.0,1775.0,1700.0,1700.0,1875.0,2100.0,1913.0,1999.0,2000.0,1938.0,1913.0,1950.0,1860.0,1824.0,2035.0,1975.0,2100.0,2200.0,2225.0,2050.0,2000.0,2238.0,2000.0
NYC,,city,3500.0,3500.0,3500.0,3500.0,3570.0,3550.0,3595.0,3600.0,3800.0,3795.0,3800.0,3713.0,3750.0,3700.0,3650.0,3650.0,3600.0,3738.0,3695.0,3800.0,4000.0,4000.0,4000.0,3900.0,3898.0,3800.0,3800.0,3795.0,3700.0,3750.0,3700.0,3750.0,3950.0,3800.0,3825.0,3750.0,3700.0,3700.0,3600.0,3500.0,3500.0,3500.0,3490.0,3495.0,3500.0,3500.0,3500.0,3495.0,3400.0,3400.0,3400.0,3457.0,3395.0,3323.0,3200.0,3150.0,3100.0,3050.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3075.0,3000.0,3050.0,2995.0,2950.0,3000.0,3000.0,3099.0,3100.0,3116.0,3150.0,3100.0,3100.0,3099.0,3045.0,3000.0,2980.0,2950.0,2861.0,2800.0,2800.0,2800.0,2850.0,2850.0,2850.0,2999.0,2950.0,2900.0,2799.0,2800.0,2800.0,2792.0,2795.0,2800.0,2895.0,2900.0,2900.0,2899.0,2875.0,2750.0
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,3750.0,3595.0,3700.0,3698.0,3895.0,3800.0,3995.0,3798.0,4000.0,4723.0,5000.0,,3775.0,3645.0,3450.0,4625.0,3995.0,3995.0,3995.0,4200.0,4198.0,3995.0,4450.0,3998.0,4000.0,4300.0,3873.0,3995.0,3895.0,4200.0,4200.0,4198.0,4095.0,4045.0,4248.0,3848.0,4295.0,3600.0,3423.0,3648.0,3800.0,4348.0,4150.0,3998.0,4150.0,3100.0,4395.0,3775.0,5000.0,3995.0,3895.0,4000.0,3873.0,4095.0,3848.0,3695.0,3679.0,3495.0,4950.0,4500.0,4548.0,4360.0,4545.0,4495.0,4250.0,4223.0,4000.0,3995.0,3900.0,3675.0,3800.0,4300.0,4150.0,3800.0,4125.0,4445.0,4325.0,3995.0,3995.0,4000.0,4245.0,4195.0,4245.0,4175.0,4198.0,4245.0,4195.0,4295.0,4395.0,3900.0,3900.0,4073.0,3998.0,3897.0,3798.0,4195.0,4100.0,4000.0,4295.0,4038.0,4498.0,4050.0,4025.0,4000.0,4300.0,4698.0
North Brooklyn,Brooklyn,submarket,2750.0,2700.0,2750.0,2900.0,2900.0,2900.0,2995.0,3195.0,3225.0,3250.0,3100.0,2700.0,2600.0,3000.0,2800.0,3300.0,3350.0,3250.0,2900.0,3100.0,3000.0,3169.0,3300.0,3458.0,3257.0,3112.0,3200.0,3481.0,3300.0,3400.0,3200.0,3200.0,3800.0,3850.0,3890.0,3700.0,3650.0,3479.0,3200.0,3000.0,3100.0,3250.0,3250.0,3200.0,3200.0,3250.0,3300.0,3350.0,3500.0,3465.0,3200.0,3200.0,3250.0,3300.0,3200.0,3195.0,3100.0,3000.0,3100.0,3185.0,3200.0,3200.0,3100.0,3150.0,3000.0,3100.0,3200.0,3200.0,3150.0,3200.0,3200.0,3210.0,3250.0,3199.0,3100.0,3100.0,3100.0,3100.0,3000.0,3094.0,3097.0,3100.0,3131.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2999.0,3000.0,2900.0,2800.0,2750.0,2800.0,2800.0,2875.0,2952.0,2995.0,3000.0,2995.0,2999.0,3000.0,2999.0
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Queens,Queens,submarket,1650.0,1713.0,1700.0,1550.0,1650.0,1675.0,1700.0,1675.0,1700.0,1800.0,1800.0,1650.0,1688.0,1900.0,1775.0,1750.0,1700.0,1763.0,1825.0,1800.0,1700.0,1700.0,1700.0,1600.0,1685.0,1700.0,1750.0,1750.0,1773.0,1825.0,1850.0,1900.0,2100.0,2325.0,2100.0,1800.0,1700.0,1700.0,1850.0,1925.0,1800.0,1900.0,1875.0,1950.0,1950.0,1998.0,1790.0,2050.0,2000.0,1975.0,1900.0,1850.0,1950.0,1950.0,2025.0,2025.0,2000.0,2000.0,2100.0,2000.0,1925.0,1950.0,2000.0,2095.0,2000.0,1998.0,2000.0,2000.0,2100.0,2100.0,2100.0,2200.0,2198.0,2100.0,2099.0,2100.0,2025.0,2100.0,2100.0,2250.0,2150.0,2100.0,2100.0,2150.0,2050.0,2050.0,2100.0,2150.0,2150.0,2200.0,2200.0,2200.0,2150.0,2108.0,2100.0,2075.0,2170.0,2150.0,2120.0,2225.0,2200.0,2195.0,2150.0,2148.0,2100.0,2135.0
Northwest Brooklyn,Brooklyn,submarket,2600.0,2573.0,2550.0,2600.0,2725.0,2800.0,2900.0,2975.0,3095.0,3061.0,2973.0,2800.0,2800.0,2750.0,2800.0,2800.0,2850.0,3000.0,3019.0,3200.0,3400.0,3200.0,3150.0,3273.0,3495.0,3413.0,3500.0,3359.0,3400.0,3337.0,3357.0,3500.0,3500.0,3400.0,3450.0,3500.0,3400.0,3400.0,3500.0,3450.0,3600.0,3700.0,3575.0,3500.0,3497.0,3400.0,3400.0,3254.0,3301.0,3400.0,3450.0,3454.0,3400.0,3450.0,3400.0,3400.0,3400.0,3499.0,3495.0,3300.0,3300.0,3300.0,3350.0,3400.0,3250.0,3300.0,3400.0,3400.0,3450.0,3400.0,3400.0,3495.0,3550.0,3500.0,3500.0,3470.0,3500.0,3405.0,3450.0,3500.0,3400.0,3400.0,3300.0,3276.0,3328.0,3400.0,3395.0,3400.0,3450.0,3400.0,3400.0,3495.0,3435.0,3421.0,3300.0,3411.0,3547.0,3600.0,3648.0,3500.0,3500.0,3599.0,3500.0,3600.0,3500.0,3500.0
Northwest Queens,Queens,submarket,2065.0,2100.0,2200.0,2200.0,2100.0,2200.0,2400.0,2500.0,3095.0,2500.0,2200.0,2300.0,2225.0,2400.0,2525.0,2250.0,2550.0,2800.0,2700.0,2750.0,3450.0,3095.0,3200.0,2700.0,2975.0,3528.0,3500.0,3500.0,3405.0,3400.0,3410.0,3400.0,3395.0,2600.0,2500.0,2400.0,2500.0,2600.0,2500.0,2400.0,2525.0,2595.0,2650.0,2725.0,2900.0,3000.0,3200.0,2700.0,2500.0,2350.0,2300.0,2500.0,2500.0,2600.0,2500.0,2450.0,2450.0,2400.0,2400.0,2358.0,2400.0,2500.0,2400.0,2400.0,2400.0,2400.0,2450.0,2500.0,2500.0,2450.0,2445.0,2444.0,2450.0,2500.0,2500.0,2450.0,2500.0,2500.0,2500.0,2600.0,2500.0,2450.0,2450.0,2495.0,2400.0,2399.0,2400.0,2400.0,2400.0,2400.0,2400.0,2445.0,2400.0,2400.0,2400.0,2395.0,2399.0,2323.0,2390.0,2350.0,2350.0,2319.0,2350.0,2395.0,2400.0,2400.0
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,1550.0,1550.0,1575.0,1600.0,1575.0,1588.0,1600.0,,,1600.0,1648.0,,1645.0,1673.0,1650.0,1750.0,1800.0,1695.0,1699.0,1695.0,1650.0,,1700.0,,1695.0,,,,,,,1695.0,,,,,1950.0,1850.0,,,
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.0,,,,,,,,,,2295.0,2295.0,2295.0,1900.0,1690.0,2100.0,,,,2198.0,2200.0,2200.0,2273.0,,2150.0,1950.0,2000.0,,2075.0,1895.0,,,,2099.0,,,2245.0,,,2225.0,2250.0,2238.0,2225.0,2248.0,2229.0,2291.0,2200.0,2298.0,2250.0,2095.0,2050.0,2100.0,2100.0,2138.0,2325.0,2275.0,2050.0,2050.0,2138.0,2195.0,2098.0,2200.0,2000.0
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,Brooklyn,neighborhood,2350.0,2350.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2650.0,2675.0,2500.0,2600.0,2600.0,2500.0,2500.0,2598.0,2700.0,2700.0,2725.0,2800.0,3000.0,3000.0,3000.0,3100.0,3000.0,2900.0,2900.0,2750.0,2800.0,2875.0,2800.0,2800.0,2950.0,2900.0,3000.0,2900.0,2900.0,2800.0,2700.0,2850.0,2850.0,2950.0,2800.0,2900.0,3000.0,3000.0,2900.0,2900.0,2850.0,2900.0,2873.0,2995.0,2850.0,2850.0,2850.0,2850.0,2925.0,3100.0,2995.0,2925.0,3000.0,3150.0,3183.0,3000.0,3100.0,3000.0,3000.0,2950.0,3000.0,2995.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3150.0,3100.0,3000.0,3000.0,2950.0,2900.0,2900.0,2950.0,2900.0,2850.0,2900.0,2950.0,2995.0,2960.0,3000.0,3000.0,2963.0,2895.0,2850.0,2995.0,3000.0,3000.0,3100.0,3100.0,3175.0,3100.0,3095.0,3200.0,3200.0
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.0,1535.0,1535.0,,1493.0,,,,,,,,,,,,,,,,,,,1841.0,1700.0,1700.0,1645.0,1680.0,,,,1850.0,1773.0,1690.0,1850.0,,,,,,,,,,,,,,
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,2988.0,2935.0,2895.0,2150.0,2200.0,2400.0,2575.0,2675.0,,,2700.0,2550.0,,2550.0,2500.0,2525.0,2573.0,2500.0,2400.0,2575.0,2600.0,2550.0,2500.0,2500.0,2550.0,2500.0,2500.0,2525.0,2750.0,2800.0,2723.0,2775.0,2850.0,2600.0,2600.0,2700.0,2950.0,2900.0,2850.0,3000.0,2800.0,2895.0,2848.0,2999.0,2999.0,2800.0,2600.0,2750.0,2795.0,2900.0,2850.0,2850.0,2925.0,2950.0,3200.0,2950.0,3000.0,2795.0,2950.0,2950.0,2975.0,2800.0,2798.0,2977.0,3000.0,3000.0,2900.0,3013.0,3000.0,2850.0,3000.0,3000.0,3000.0,2950.0,2950.0,3050.0,3000.0,2996.0,2950.0,3100.0,3197.0,3173.0,2900.0,2875.0,2995.0,2995.0,2979.0,2995.0,2995.0,2995.0,3000.0,3000.0,3071.0,2900.0,2800.0,3000.0,3100.0,3223.0,3223.0,3099.0,3206.0,3159.0,3200.0,3299.0,3300.0,3206.0
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,1875.0,,1750.0,1700.0,,,1800.0,1698.0,,,,,,,,1900.0,1850.0,,2150.0,2200.0,2200.0,2000.0,1950.0,2050.0,2250.0,2175.0,2100.0,2100.0,2075.0,2250.0,2100.0,2150.0,2125.0,2125.0,2000.0,1900.0,1900.0,1949.0,1950.0,1950.0,2000.0,2000.0,2000.0,2150.0,2200.0,2198.0,2150.0,2100.0,2100.0,2100.0,2200.0,2200.0,2232.0,2271.0,2300.0,2300.0,2300.0,2292.0,2200.0,2175.0,2225.0,2300.0,2250.0,2200.0,2197.0,2275.0,2300.0,2300.0,2295.0,2200.0,2200.0,2200.0,2138.0,2249.0,2350.0,2395.0,2400.0,2400.0,2500.0,2400.0,2452.0,2397.0
Prospect Park,Brooklyn,submarket,2300.0,2300.0,2300.0,2300.0,2473.0,2500.0,2448.0,2450.0,2600.0,2550.0,2500.0,2550.0,2550.0,2500.0,2500.0,2500.0,2600.0,2600.0,2600.0,2725.0,2825.0,2800.0,2598.0,2725.0,2600.0,2600.0,2600.0,2700.0,2750.0,2800.0,2700.0,2700.0,2825.0,2800.0,2700.0,2777.0,2800.0,2800.0,2750.0,2800.0,2800.0,2895.0,2750.0,2900.0,2850.0,2800.0,2700.0,2800.0,2795.0,2850.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2850.0,2850.0,2800.0,2800.0,2850.0,2800.0,2891.0,2900.0,2900.0,2900.0,2900.0,2850.0,2850.0,2800.0,2850.0,2800.0,2800.0,2800.0,2800.0,2900.0,2900.0,2900.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2700.0,2800.0,2800.0,2835.0,2800.0,2800.0,2800.0,2750.0,2650.0,2600.0,2700.0,2700.0,2763.0,2800.0,2850.0,2900.0,2977.0,2850.0,2900.0,2760.0
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2300.0,,2250.0,2225.0,2225.0,2100.0,2100.0,2100.0,2050.0,2245.0,2400.0,2398.0,2175.0,2100.0,2000.0,2000.0,2100.0,2100.0,2100.0,2250.0,2225.0,2150.0,2150.0,2200.0,2150.0,2100.0,2173.0,2200.0,2195.0,2138.0,2138.0,2225.0,2100.0,2099.0,2100.0,2075.0,2100.0,2058.0,2000.0,2150.0,2198.0,2100.0,2100.0,2200.0,2250.0,2050.0,2000.0,2072.0,2150.0,2100.0,2100.0,2250.0,2150.0,2200.0,2295.0,2195.0,2338.0,2250.0
Queens,Queens,borough,1950.0,2000.0,2000.0,2083.0,1825.0,1800.0,1775.0,1800.0,1898.0,1800.0,1800.0,1675.0,1688.0,1700.0,2000.0,1900.0,1975.0,2100.0,2100.0,2075.0,2450.0,2425.0,2295.0,2200.0,2195.0,2990.0,2990.0,2760.0,2700.0,2658.0,2750.0,2534.0,2450.0,2400.0,2200.0,2200.0,2100.0,2150.0,2198.0,2200.0,2300.0,2400.0,2450.0,2395.0,2400.0,2425.0,2350.0,2200.0,2200.0,2200.0,2200.0,2330.0,2300.0,2300.0,2300.0,2350.0,2300.0,2285.0,2295.0,2250.0,2250.0,2300.0,2250.0,2300.0,2300.0,2300.0,2300.0,2313.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2370.0,2390.0,2395.0,2400.0,2385.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2325.0,2325.0,2375.0,2350.0,2300.0,2300.0,2295.0,2300.0,2250.0,2295.0,2299.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensboro Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
